,fixedacidity,volatileacidity,citricacidity,residualsugar,chlorides,freesulfurdioxide,totalsulfurdioxide,density,pH,sulphates,alchohol,quality
478,7,0,0,1,0,21,165,0,2,0,9,6
479,6,0,0,1,0,67,164,0,3,0,10,6
480,6,0,0,8,0,31,172,0,3,0,9,5
481,5,0,0,1,0,45,104,0,3,0,10,6
482,5,0,0,13,0,41,137,0,3,0,9,5
483,6,0,0,8,0,31,172,0,3,0,9,5
484,6,0,0,6,0,79,200,0,3,0,9,5
485,6,0,0,1,0,36,117,0,3,0,9,6
486,6,0,0,1,0,43,117,0,3,0,9,6
487,6,0,0,1,0,32,90,0,3,0,10,6
488,7,0,0,1,0,53,180,0,3,0,10,6
489,7,0,0,7,0,52,177,0,3,0,8,6
490,7,0,0,1,0,8,70,0,3,0,12,6
491,7,0,0,1,0,12,65,0,3,0,12,7
492,7,0,0,8,0,42,182,0,3,0,9,6
493,6,0,0,1,0,28,158,0,3,0,11,6
494,6,0,0,4,0,27,103,0,3,0,10,6
495,5,0,0,7,0,28,173,0,3,0,12,6
496,7,0,0,10,0,70,189,0,3,0,8,4
497,6,0,0,1,0,43,147,0,3,0,12,6
498,5,0,0,1,0,13,174,0,3,0,10,5
499,7,0,0,10,0,70,189,0,3,0,8,4
500,7,0,0,16,0,54,200,0,3,0,9,6
501,6,0,0,14,0,51,164,0,3,0,9,6
502,6,0,0,2,0,8,210,0,3,0,9,6
503,6,0,0,2,0,8,210,0,3,0,9,5
504,7,0,0,12,0,46,140,0,3,0,8,6
505,7,0,0,12,0,46,140,0,3,0,8,6
506,7,0,0,3,0,7,135,0,3,0,8,5
507,6,0,0,1,0,40,170,0,3,0,10,7
508,5,0,0,3,0,55,152,0,3,0,12,6
509,6,0,0,1,0,40,170,0,3,0,10,7
510,6,0,0,1,0,62,138,0,3,0,10,6
511,7,0,0,1,0,8,167,0,3,0,12,6
512,7,0,0,5,0,31,141,0,3,0,11,6
513,7,0,0,1,0,27,55,0,3,0,11,6
514,7,0,0,9,0,34,115,0,3,0,10,7
515,6,0,0,2,0,28,167,0,3,0,10,6
516,6,0,0,1,0,47,154,0,3,0,9,5
517,7,0,0,1,0,49,154,0,3,0,10,6
518,5,0,0,1,0,20,78,0,3,0,10,6
519,7,0,0,12,0,7,41,0,3,0,11,5
520,7,0,0,2,0,8,143,0,3,0,9,5
521,7,0,0,2,0,8,143,0,3,0,9,5
522,6,0,0,1,0,22,101,0,3,0,11,6
523,5,0,0,1,0,22,96,0,3,0,11,6
524,5,0,0,1,0,6,72,0,3,0,11,5
525,5,0,0,3,0,24,140,0,3,0,9,6
526,7,0,0,5,0,3,29,0,3,0,12,4
527,6,0,0,1,0,32,116,0,3,0,12,6
528,5,0,0,1,0,24,104,0,3,0,12,6
529,5,0,0,4,0,19,112,0,3,0,11,6
530,6,0,0,4,0,31,103,0,3,0,9,6
531,6,0,0,4,0,64,150,0,3,0,9,5
532,7,0,0,13,0,53,178,0,3,0,9,6
